id,exp_id,smiles,original_smiles
12298190,1,Cc1ccc(C)c([*:2])c1,[H]c1c([H])c(C([H])([H])[H])c(C(=O)C([H])([H])Sc2nnc(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n2C2([H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])[H]
355224,1,COc1ccc(C)cc1N[*:2],[H]c1c([H])c(C([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])Sc2nc3c([H])c4c(c([H])c3c([H])c2C([H])([H])[H])C([H])([H])C([H])([H])C4([H])[H])c1OC([H])([H])[H]
11900832,1,O=C1CCCN1CCCN[*:2],[H]N(C(=O)C([H])([H])Sc1nc2sc3c(c2c(=O)n1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H]
13327214,1,c1ccc2c(c1)CCN([*:2])C2,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])N(C(=O)C([H])([H])Sc1nnc(C3([H])C([H])([H])C3([H])[H])n1C1([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H]
2755510,1,c1cc2c(cc1OC[*:2])OCO2,[H]c1nc(N([H])C(=O)C([H])([H])Oc2c([H])c([H])c3c(c2[H])OC([H])([H])O3)sc1C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H]
5325766,1,c1ccc(C[*:2])cc1,[H]c1c([H])c([H])c(C([H])([H])c2nn3c(C([H])([H])Oc4c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c4[H])nnc3s2)c([H])c1[H]
12390725,1,CN[*:2],[H]c1oc(C([H])([H])n2c(SC([H])([H])C(=O)N([H])C([H])([H])[H])nnc2-c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c1[H]
13030375,1,COCCN[*:2],[H]c1sc(C(=O)N2C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[H])c([H])c1[H]
361962,1,O=C1CN([*:2])c2ccccc2N1,[H]c1oc(C([H])([H])[H])c(-c2nnc(SC([H])([H])C(=O)N3c4c([H])c([H])c([H])c([H])c4N([H])C(=O)C3([H])[H])n2C([H])([H])C([H])([H])OC([H])([H])[H])c1[H]
363263,1,Fc1ccc(N[*:2])cc1,[H]c1c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])[H])c([H])c([H])c1F
2441909,1,Cc1ccc([*:2])cc1,[H]c1c([H])c([H])c(-c2nn3c(C([H])([H])Oc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])nnc3s2)c(OC([H])([H])C([H])([H])[H])c1[H]
13621137,1,Cc1c([*:2])sc2ccccc12,[H]c1c([H])c([H])c(C([H])([H])[H])c(-c2nnn(C([H])([H])C(=O)c3sc4c([H])c([H])c([H])c([H])c4c3C([H])([H])[H])n2)c1[H]
1148565,1,COc1cccc([*:2])c1OC,[H]c1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(C(=O)N([H])C([H])([H])c2nc(-c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])no2)c1[H]
3296523,1,COc1ccc(CN[*:2])cc1,[H]c1c([H])c(C([H])([H])N([H])C(=O)C([H])([H])OC(=O)c2c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c([H])c([H])c1OC([H])([H])[H]
385990,1,CC(C)N(C[*:2])C(=O)c1cccc(F)c1,[H]c1c([H])c(F)c([H])c(C(=O)N(C([H])([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])no2)C([H])(C([H])([H])[H])C([H])([H])[H])c1[H]
428260,1,Fc1ccccc1[*:2],[H]c1c([H])c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c([H])c([H])c([H])c3c(C([H])([H])[H])c2[H])c(F)c1[H]
1148999,1,COc1ccc(O[C@H](C)[*:2])cc1,[H]c1c([H])c(O[C@@]([H])(C(=O)N([H])C([H])([H])c2nc(-c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])no2)C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
