id,exp_id,smiles,original_smiles
13682347,1,NC(=O)[*:1],[H]c1sc(-c2c([H])c([H])c(C(=O)N([H])[H])c([H])c2[H])nc1C([H])([H])OC(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H]
361890,1,COCCC[*:1],[H]c1oc(C([H])([H])[H])c(-c2nnc(SC([H])([H])C(=O)N([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C([H])([H])[H])n2C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])c1[H]
2792828,1,O([*:1])[CH3:1],[H]c1c(OC([H])([H])[H])c([H])c(N([H])C(=O)[C@]2([H])n3c(nc4c([H])c([H])c([H])c([H])c43)N([H])C(=O)C2([H])[H])c([H])c1OC([H])([H])[H]
1157184,1,O=C(C1CC1)[*:1],[H]c1sc(N([H])C(=O)C2([H])C([H])([H])C2([H])[H])nc1-c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])N2C(=O)C1([H])C([H])([H])C1([H])[H]
3006263,1,Clc1ccc(O[*:1])cc1,[H]c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])Oc2c([H])c([H])c([H])c([H])c2-c2noc(C([H])([H])Oc3c([H])c([H])c(Cl)c([H])c3[H])n2)c([H])c1[H]
6109866,1,Clc1ccc([*:1])cc1,[H]C([H])=C([H])C([H])([H])N(C(=O)c1nnsc1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c(Cl)c([H])c1[H]
2649992,1,CS[*:1],[H]c1nc(C(=O)N([H])C([H])([H])C([H])([H])c2c([H])c([H])c(SC([H])([H])[H])c([H])c2[H])c(-c2sc([H])c([H])c2[H])o1
5325766,1,CS(=O)(=O)[*:1],[H]c1c([H])c([H])c(C([H])([H])c2nn3c(C([H])([H])Oc4c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c4[H])nnc3s2)c([H])c1[H]
361962,1,COCC[*:1],[H]c1oc(C([H])([H])[H])c(-c2nnc(SC([H])([H])C(=O)N3c4c([H])c([H])c([H])c([H])c4N([H])C(=O)C3([H])[H])n2C([H])([H])C([H])([H])OC([H])([H])[H])c1[H]
11962262,1,O=C(N[*:1])c1ccccc1,[H]c1c([H])c([H])c(C(=O)N([H])[C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C(=O)OC([H])([H])C(=O)N([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[H])c([H])c1[H]
